countryIso2,countryIso3,country,region,regionName,year,populationSize
CH,CHE,Switzerland,CH,Schweiz,2020,8606033
CH,CHE,Switzerland,ZH,Zürich,2020,1539275
CH,CHE,Switzerland,BE,Bern / Berne,2020,1039474
CH,CHE,Switzerland,LU,Luzern,2020,413120
CH,CHE,Switzerland,UR,Uri,2020,36703
CH,CHE,Switzerland,SZ,Schwyz,2020,160480
CH,CHE,Switzerland,OW,Obwalden,2020,37930
CH,CHE,Switzerland,NW,Nidwalden,2020,43087
CH,CHE,Switzerland,GL,Glarus,2020,40590
CH,CHE,Switzerland,ZG,Zug,2020,127642
CH,CHE,Switzerland,FR,Fribourg / Freiburg,2020,321783
CH,CHE,Switzerland,SO,Solothurn,2020,275247
CH,CHE,Switzerland,BS,Basel-Stadt,2020,195844
CH,CHE,Switzerland,BL,Basel-Landschaft,2020,289468
CH,CHE,Switzerland,SH,Schaffhausen,2020,82348
CH,CHE,Switzerland,AR,Appenzell Ausserrhoden,2020,55445
CH,CHE,Switzerland,AI,Appenzell Innerrhoden,2020,16128
CH,CHE,Switzerland,SG,St. Gallen,2020,510734
CH,CHE,Switzerland,GR,Graubünden / Grigioni / Grischun,2020,199021
CH,CHE,Switzerland,AG,Aargau,2020,685845
CH,CHE,Switzerland,TG,Thurgau,2020,279547
CH,CHE,Switzerland,TI,Ticino,2020,351491
CH,CHE,Switzerland,VD,Vaud,2020,805098
CH,CHE,Switzerland,VS,Valais / Wallis,2020,345525
CH,CHE,Switzerland,NE,Neuchâtel,2020,176496
CH,CHE,Switzerland,GE,Genève,2020,504128
CH,CHE,Switzerland,JU,Jura,2020,73584
LI,LIE,Liechtenstein,LI,Liechtenstein,2020,38553

